Hanzi,Pinyin chuẩn,Nghĩa tiếng Việt
不听,bù tīng,ko nghe
口,kǒu,cái miệng
我,wo,tôi
你,nǐ,bạn
学,xué,học
写,xiě,viết
算,suàn,"tính , tính toán"
不算,bú suàn,ko tính
算了吧,suàn leba,"thôi bỏ đi , thôi dẹp đi"
酸,suān,chua
舌,shé,bộ thiệt (lưỡi )
舌头,shé tóu,"cái lưỡi , đầu lưỡi"
甜,tián,ngọt
苦,kǔ,khổ / đắng
吃,chī,ăn
能,néng,có thể
我能吃苦,wo néng chī kǔ,tôi có thể chịu khổ
辣,là,cay
汤,tāng,"canh , súp"
酸辣汤,suān là tāng,"canh chua cay , canh chua"
不干不净,bù gān bú jìng,ko sạch ko sẽ
干净,gān jìng,"sạch , sạch sẽ"
不喜不悲,bù xǐ bù bēi,ko vui ko buồn
喜,xǐ,"hỉ , vui"
悲,bēi,"bi , buồn"
心,xīn,"tâm, tim , lòng"
不闻不问,bù wén bú wèn,ko nghe ko hỏi
闻,wén,nghe ( ngóng )
门,mén,cửa
耳,ěr,cái tai
新闻,xīn wén,"tin tức, báo chí"
问,wèn,( vấn ) hỏi
不见不散,bú jiàn bú sàn,ko gặp ko về
见,jiàn,"bộ kiến , gặp"
散,sàn,tản
好,hǎo,"tốt , khỏe , dc"
女,nǚ,nữ
子,,bộ tử /zi3/ con trai
早生贵子,zǎo shēng guì zǐ,sớm sinh quý tử
老板,lǎo bǎn,ông chủ
叔叔,shù shu,chú
姑姑,gū gū,cô
阿姨,ā yí,dì
人,rén,"bộ nhân , người"
女人,nǚ rén,"đàn bà , phụ nữ , con gái , nữ giới"
好人,hǎo rén,người tốt
老师,lǎo shī,giáo viên
老,lǎo,( lão ) già
老人,lǎo rén,người già
了,le,"rồi , nữa"
年轻,nián qīng,trẻ
年轻人,nián qīng rén,người trẻ
是,shì,"là , phải"
不是,bú shì,"ko là , ko phải là"
师,shī,帅shuai4 : đẹp trai
谢谢,xiè xie,cảm ơn
讠,,bộ ngôn
身体,shēn tǐ,"thân thể , sức khỏe"
身,shēn,thân
寸,cùn,thốn
客气,,ke4qi :
客户,kè hù,"khách , khách hàng"
气,qi,khí
空气,kong qi,ko khí
对不起,duì bù qi,xin lỗi
对,duì,đúng / đối với
错,cùo,sai
很,hěn,rất
为什么,wèi shén me,"tại sao , vì sao"
没关系,méi guān xi,"ko sao , ko việc gì đâu"
有,yǒu,( hữu) có
没有,méi yǒu,ko có
关系,guān xi,"quan hệ , mối quan hệ"
再见,zài jiàn,tạm biệt
再,zài,"( tái ) again , lại"
再来,zài lái,lặp lại
再说一遍,zài shūo yí biàn,nói lại 1 lần
遍,biàn,lần
请,qǐng,"mời , xin mời , vui lòng"
进步,jìn bù,tiến bộ
散步,sàn bù,tản bộ
土,tǔ,bộ thổ /tu3/ : đất
你很土,nǐ hěn tǔ,bạn rất phèn
发音,fā yīn,phát âm
发,fā,phát
发钱,fā qián,phát tiền
发展,fā zhǎn,phát triển
还没,hái méi,"chưa , vẫn chưa"
欢迎,huān yíng,hoan nghênh
钢笔,,gang1bi3 :
钢,gāng,"sắt ,thép"
笔,bǐ,bút
毛,máo,lông
铅笔,qiān bǐ,bút chì
铅,qiān,chì (Pb )
圆珠笔,yuán zhū bǐ,bút bi
