Hanzi,Pinyin,Nghĩa tiếng Việt
不听,bu4ting1,ko nghe
口,kou3,cái miệng
我,wo3,tôi
你,ni3,bạn
学,xue2,học
写,xie3,viết
算,suan4,"tính , tính toán"
不算,bu2suan4,ko tính
算了吧,suan4leba,"thôi bỏ đi , thôi dẹp đi"
酸,suan1,chua
舌,she2,bộ thiệt (lưỡi )
舌头,she2tou2,"cái lưỡi , đầu lưỡi"
甜,tian2,ngọt
苦,ku3,khổ / đắng
吃,chi1,ăn
能,neng2,có thể
我能吃苦,wo3neng2chi1ku3,tôi có thể chịu khổ
辣,la4,cay
汤,tang1,"canh , súp"
酸辣汤,suan1la4tang1,"canh chua cay , canh chua"
不干不净,bu4gan1bu2jing4,ko sạch ko sẽ
干净,gan1jing4,"sạch , sạch sẽ"
不喜不悲,bu4xi3bu4bei1,ko vui ko buồn
喜,xi3,"hỉ , vui"
悲,bei1,"bi , buồn"
心,xin1,"tâm, tim , lòng"
不闻不问,bu4wen2bu2wen4,ko nghe ko hỏi
闻,wen2,nghe ( ngóng )
门,men2,cửa
耳,er3,cái tai
新闻,xin1wen2,"tin tức, báo chí"
问,wen4,( vấn ) hỏi
不见不散,bu2jian4bu2san4,ko gặp ko về
见,jian4,"bộ kiến , gặp"
散,san4,tản
好,hao3,"tốt , khỏe , dc"
女,nv3,nữ
子,,bộ tử /zi3/ con trai
早生贵子,zao3sheng1gui4zi3,sớm sinh quý tử
老板,lao3ban3,ông chủ
叔叔,shu4shu,chú
姑姑,gu1gu1,cô
阿姨,a1yi2,dì
人,ren2,"bộ nhân , người"
女人,nv3ren2,"đàn bà , phụ nữ , con gái , nữ giới"
好人,hao3ren2,người tốt
老师,lao3shi1,giáo viên
老,lao3,( lão ) già
老人,lao3ren2,người già
了,le,"rồi , nữa"
年轻,nian2qing1,trẻ
年轻人,nian2qing1ren2,người trẻ
是,shi4,"là , phải"
不是,bu2shi4,"ko là , ko phải là"
师,shi1,帅shuai4 : đẹp trai
谢谢,xie4xie,cảm ơn
讠,,bộ ngôn
身体,shen1ti3,"thân thể , sức khỏe"
身,shen1,thân
寸,cun4,thốn
客气,,ke4qi :
客户,ke4hu4,"khách , khách hàng"
气,qi,khí
空气,kong1qi,ko khí
对不起,dui4bu4qi,xin lỗi
对,dui4,đúng / đối với
错,cuo4,sai
很,hen3,rất
为什么,wei4shen2me,"tại sao , vì sao"
没关系,mei2guan1xi,"ko sao , ko việc gì đâu"
有,you3,( hữu) có
没有,mei2you3,ko có
关系,guan1xi,"quan hệ , mối quan hệ"
再见,zai4jian4,tạm biệt
再,zai4,"( tái ) again , lại"
再来,zai4lai2,lặp lại
再说一遍,zai4shuo1yi2(4)bian4,nói lại 1 lần
遍,bian4,lần
请,qing3,"mời , xin mời , vui lòng"
进步,jin4bu4,tiến bộ
散步,san4bu4,tản bộ
土,tu3,bộ thổ /tu3/ : đất
你很土,ni3hen3tu3,bạn rất phèn
发音,fa1yin1,phát âm
发,fa1,phát
发钱,fa1qian2,phát tiền
发展,fa1zhan3,phát triển
还没,hai2mei2,"chưa , vẫn chưa"
欢迎,huan1ying2,hoan nghênh
钢笔,,gang1bi3 :
钢,gang1,"sắt ,thép"
笔,bi3,bút
毛,mao2,lông
铅笔,qian1bi3,bút chì
铅,qian1,chì (Pb )
圆珠笔,yuan2zhu1bi3,bút bi
珍珠,zhen1zhu1,trân châu
高兴,gao1xing4,"vui , cao hứng"
高,gao1,cao
矮,ai3,lùn
